Circuit breaker Open/Close Status, Disconnector Open/Close Status, Earth switch Open/Close Status, Protection system healthy (Trip circuit healthy), Control level - Local or remote, Protection tripped, Circuit breaker mechanical failure, Auxiliary power failure, Intertrip command send, Intertrip command receive, Current Line 'L1', Current Line 'L2', Current Line 'L3', Voltage Phase 'L1-N', Voltage Phase 'L2-N', Voltage Phase 'L3-N', Active Power, Reactive power, Frequency, Power Factor
1,1,0,1,False,False,1,False,False,False,248,251,246,6346,6349,6359,3999773,2450000,50.02,0.87
1,1,0,1,False,False,1,False,False,False,249,249,249,6341,6353,6345,4000000,2450000,50.01,0.85
1,1,0,1,False,False,1,False,False,False,249,247,250,6360,6361,6344,4000084,2450190,50.05,0.87
1,1,0,1,False,False,1,False,False,False,246,246,243,6352,6344,6361,4000451,2449520,50.04,0.84
1,1,0,1,False,False,1,False,False,False,249,246,244,6352,6354,6342,3999906,2450332,50.01,0.87
1,1,0,1,False,False,1,False,False,False,249,246,246,6344,6349,6348,4000410,2450000,50.0,0.87
1,1,0,1,False,False,1,False,False,False,244,247,250,6348,6349,6348,3999819,2450035,49.95,0.84
1,1,0,1,False,False,1,False,False,False,248,248,246,6343,6342,6360,4000000,2449770,50.04,0.86
1,1,0,1,False,False,1,False,False,False,247,246,244,6351,6358,6355,3999892,2450000,50.02,0.86
1,1,0,1,False,False,1,False,False,False,244,248,249,6351,6358,6355,3999541,2449691,49.96,0.87
1,1,0,1,False,False,1,False,False,False,0,0,0,0,0,0,0,0,0.0,0.0
1,1,0,1,False,False,1,False,False,False,244,241,244,6351,6358,6355,3999625,2450000,50.02,0.87
1,1,0,1,False,False,1,False,False,False,245,242,246,6351,6358,6355,4000202,2450118,49.97,0.86
1,1,0,1,False,False,1,False,False,False,246,247,244,6351,6358,6355,4000000,2450000,50.01,0.83
1,1,0,1,False,False,1,False,False,False,247,244,245,6351,6358,6355,4000000,2450431,49.99,0.83
1,1,0,1,False,False,1,False,False,False,248,249,246,6351,6358,6355,4000000,2450000,50.02,0.87
1,1,0,1,False,False,1,False,False,False,249,246,246,6351,6358,6355,4000438,2450384,50.0,0.86
1,1,0,1,False,False,1,False,False,False,250,246,243,6351,6358,6355,4000000,2449681,49.96,0.85
1,1,0,1,False,False,1,False,False,False,251,243,250,6351,6358,6355,4000467,2450000,50.0,0.86
1,1,0,1,False,False,1,False,False,False,252,242,246,6351,6358,6355,4000004,2450000,50.0,0.85
1,1,0,1,False,False,1,False,False,False,253,249,246,6351,6358,6355,3999711,2449775,50.04,0.86
1,1,0,1,False,False,1,False,False,False,254,242,244,6351,6358,6355,4000395,2450259,50.03,0.85
1,1,0,1,False,False,1,False,False,False,255,245,246,6351,6358,6355,4000303,2449577,49.97,0.86
1,1,0,1,False,False,1,False,False,False,256,246,246,6351,6358,6355,3999887,2450000,49.96,0.85
1,1,0,1,False,False,1,False,False,False,257,245,242,6351,6358,6355,4000000,2450499,50.0,0.85
1,1,0,1,False,False,1,False,False,False,258,246,246,6351,6358,6355,4000000,2450000,50.02,0.85
1,1,0,1,False,False,1,False,False,False,259,249,249,6351,6358,6355,3999879,2450000,49.99,0.84
1,1,0,1,False,False,1,False,False,False,260,246,245,6351,6358,6355,4000022,2449700,50.0,0.85
1,1,0,1,False,False,1,False,False,False,261,244,250,6351,6358,6355,4000319,2449727,50.01,0.84
1,1,0,1,False,False,1,False,False,False,262,249,250,6351,6358,6355,3999608,2450000,50.0,0.87
1,1,0,1,False,False,1,False,False,False,263,251,248,6351,6358,6355,3999821,2450389,49.95,0.85
1,1,0,1,False,False,1,False,False,False,264,244,247,6351,6358,6355,4000431,2450000,49.96,0.85
1,1,0,1,False,False,1,False,False,False,265,246,245,6351,6358,6355,4000360,2450000,50.0,0.85
1,1,0,1,False,False,1,False,False,False,266,251,248,6351,6358,6355,4000000,2450000,50.0,0.85
1,1,0,1,False,False,1,False,False,False,267,247,244,6351,6358,6355,4000226,2449934,50.01,0.85
1,1,0,1,False,False,1,False,False,False,268,246,250,6351,6358,6355,4000000,2450000,50.0,0.84
1,1,0,1,False,False,1,False,False,False,269,247,246,6351,6358,6355,4000242,2450000,49.98,0.86
1,1,0,1,False,False,1,False,False,False,270,245,241,6351,6358,6355,4000115,2450000,50.0,0.85
1,1,0,1,False,False,1,False,False,False,271,246,250,6351,6358,6355,4000367,2450496,50.0,0.84
1,1,0,1,False,False,1,False,False,False,272,246,246,6351,6358,6355,4000000,2450000,50.0,0.85
1,1,0,1,False,False,1,False,False,False,273,246,242,6351,6358,6355,4000000,2449921,50.0,0.83
1,1,0,1,False,False,1,False,False,False,274,249,246,6351,6358,6355,3999860,2450190,50.02,0.87
1,1,0,1,False,False,1,False,False,False,275,246,246,6351,6358,6355,3999646,2450257,50.0,0.85
1,1,0,1,False,False,1,False,False,False,276,251,242,6351,6358,6355,4000000,2449693,50.0,0.83
1,1,0,1,False,False,1,False,False,False,277,243,246,6351,6358,6355,4000000,2450000,49.97,0.85
1,1,0,1,False,False,1,False,False,False,278,246,245,6351,6358,6355,4000204,2449790,50.0,0.85
1,1,0,1,False,False,1,False,False,False,279,246,246,6351,6358,6355,4000000,2450000,50.0,0.85
1,1,0,1,False,False,1,False,False,False,280,246,246,6351,6358,6355,3999606,2449535,50.0,0.85
1,1,0,1,False,False,1,False,False,False,281,246,247,6351,6358,6355,4000000,2449787,50.0,0.85
1,1,0,1,False,False,1,False,False,False,282,246,246,6351,6358,6355,4000345,2450000,50.0,0.85
1,1,0,1,False,False,1,False,False,False,283,249,247,6351,6358,6355,4000427,2450189,50.03,0.85
1,1,0,1,False,False,1,False,False,False,284,246,251,6351,6358,6355,3999698,2450000,49.96,0.83
1,1,0,1,False,False,1,False,False,False,285,243,248,6351,6358,6355,3999643,2450000,50.05,0.84
1,1,0,1,False,False,1,False,False,False,286,245,246,6351,6358,6355,3999732,2449609,50.04,0.85
